reactionEnergy,Unnamed: 0,φ,Nd1,Np0,Out_e0,Out_e1,ψ1,First_IE0,CN,L_bond,R0,ΔGH,idx
-0.107914362,0,5.625,8.419824,6.0,5.0,4.129565,1.903992,6.88,5.8,1.812854,1.64,-0.107914362,0
-0.230309126,2218,21.491228070175442,7.45391,6.0,9.0,9.463026,2.17841,7.46,7.5,1.838814,1.42,-0.230309126,1
-1.06213596,3329,3.0769230769230766,3.301089,6.0,4.0,5.532647,1.604483,6.65,6.954545455,2.127015,1.75,-1.06213596,2
-0.195509303,4437,25.654450261780106,7.237624,6.0,9.0,9.240211,1.996451,7.16,7.5,1.758147,1.26,-0.195509303,3
0.364711185,5539,3.0769230769230766,0.0,6.0,4.0,3.0,1.61,6.65,7.5,1.880105,1.75,0.364711185,4
1.243139283,6650,61.72839506172839,10.0,1.0,3.0,3.301927,1.726217,6.106,7.5,1.877623,1.45,1.243139283,5
0.842181582,7761,59.171597633136095,10.0,6.0,12.0,8.485281,1.672221,8.993,7.5,2.166373,1.44,0.842181582,6
0.039112419,8852,6.0,0.0,6.0,5.0,3.0,1.61,7.89,7.5,1.857339,1.7,0.039112419,7
-0.958528208,9960,0.819672131147541,1.0,6.0,3.0,3.0,1.253587,6.38,7.5,2.266713,1.9,-0.958528208,8
-0.202559092,11067,27.003374232750673,7.360832,6.0,9.622603,9.368554,2.198359,7.547633,6.954545455,1.815927,1.385852,-0.202559092,9
-0.612639545,1111,5.952083648502052,2.56947,6.0,5.241483,4.704316,1.444239,7.382921,6.954545455,2.056897,1.628415,-0.612639545,10
-0.177604213,1330,26.4356647426304,7.237624,6.0,9.321698,9.240211,1.996451,7.727212,7.5,1.794922,1.292488,-0.177604213,11
-0.208579339,1441,16.363636363636363,2.930156,6.0,8.0,5.40384,1.737791,8.7,6.954545455,1.872153,1.44,-0.208579339,12
1.078110131,1551,50.0,10.0,6.0,12.0,3.0,1.81,10.437,7.5,1.729271,1.32,1.078110131,13
-0.262412708,1662,27.003374232750673,7.45391,6.0,9.622603,9.463026,2.17841,7.547633,7.5,1.8311,1.385852,-0.262412708,14
-0.608378243,1773,5.952083648502052,2.735565,6.0,5.241483,4.898979,1.482734,7.382921,7.5,2.071062,1.628415,-0.608378243,15
-0.839201119,1884,9.63855421686747,5.278032,6.0,6.0,7.360219,1.884685,6.766,6.954545455,1.830149,1.39,-0.839201119,16
-0.590040355,1995,16.363636363636363,3.833659,6.0,8.0,6.260338,1.898484,8.7,7.5,1.959208,1.44,-0.590040355,17
0.650613304,2106,55.248618784530386,10.0,1.0,3.0,4.762203,1.871238,5.999,4.833333333,1.613533,1.22,0.650613304,18
0.073911017,2217,29.09090909090909,6.628908,6.0,10.0,8.670402,2.074699,8.34,6.954545455,1.873432,1.39,0.073911017,19
-0.007006387,2329,0.0,0.0,1.817121,3.556893,3.322699,1.587373,6.563218,6.954545455,2.014547,1.35521,-0.007006387,20
-0.87735665,2440,9.63855421686747,4.756828,6.0,6.0,6.817316,1.797069,6.766,7.5,1.860117,1.39,-0.87735665,21
0.817182076,2551,59.171597633136095,10.0,6.0,12.0,6.89219,1.661644,8.993,6.954545455,2.152198,1.44,0.817182076,22
0.643843111,2662,59.171597633136095,9.457416,6.0,12.0,11.465314,1.821372,8.993,7.5,2.076649,1.44,0.643843111,23
-1.077014873,2773,5.625,4.855934,6.0,5.0,7.096668,1.749379,6.88,6.954545455,2.055029,1.64,-1.077014873,24
1.452677551,2884,50.0,7.400828,6.0,12.0,9.641141,1.86121,10.437,7.5,2.212265,1.32,1.452677551,25
-0.95107188,2995,0.819672131147541,1.189207,6.0,3.0,3.22371,1.246616,6.38,7.5,2.253398,1.9,-0.95107188,26
1.251849374,3106,61.72839506172839,7.0,1.0,3.0,9.0,1.91,6.106,7.5,1.799855,1.45,1.251849374,27
-0.396295166,3217,27.005349449245564,7.400828,6.0,8.962809,9.641141,1.667036,8.224936,7.5,2.065359,1.503798,-0.396295166,28
0.36809043,3328,31.88976377952756,9.0,6.0,11.0,11.0,2.261526,9.225,6.954545455,1.888578,1.36,0.36809043,29
-0.160421856,3440,18.134728931636364,6.480741,6.0,8.320335,8.485281,2.2,8.831341,7.5,1.934384,1.42993,-0.160421856,30
0.411941031,3551,31.88976377952756,9.0,6.0,11.0,11.0,2.362184,9.225,7.5,1.88806,1.36,0.411941031,31
-0.529411079,3662,22.27272727272727,10.0,6.0,9.0,12.0,1.69,9.1,7.5,1.594228,1.41,-0.529411079,32
-0.151672308,3773,16.363636363636363,9.29624,6.0,8.0,4.416358,1.992612,7.37,5.0,1.626554,1.46,-0.151672308,33
-0.62465582,3884,2.5974025974025974,5.665706,6.0,4.0,8.057743,2.17755,6.82,7.333333333,1.870969,1.6,-0.62465582,34
0.647555697,3995,55.248618784530386,10.0,1.0,3.0,3.0,1.760507,5.999,7.5,2.02653,1.22,0.647555697,35
0.283857456,4106,35.129993988867696,9.0,6.0,11.0,11.0,2.396722,8.695525,6.954545455,1.857487,1.346534,0.283857456,36
0.067639881,4217,13.823372354994673,3.650186,6.0,7.851424,5.995054,1.881247,8.341402,6.954545455,2.028199,1.435707,0.067639881,37
0.982844164,4328,0.0,0.0,1.0,3.0,3.68011,1.565064,5.986,6.954545455,1.876458,1.21,0.982844164,38
0.313697459,4436,35.129993988867696,9.0,6.0,11.0,11.0,2.362184,8.695525,7.5,1.864956,1.346534,0.313697459,39
0.458949513,4539,0.0,0.0,1.0,3.0,3.408658,1.581766,5.986,7.5,1.933747,1.21,0.458949513,40
-0.411978991,4650,21.491228070175442,7.740265,6.0,9.0,9.7522,2.119641,7.46,6.954545455,1.853017,1.42,-0.411978991,41
-0.305661937,4761,25.654450261780106,7.384053,6.0,9.0,9.387404,2.050189,7.16,6.954545455,1.741743,1.26,-0.305661937,42
0.523650565,4872,0.0,0.0,1.0,3.0,3.301927,1.499219,5.986,7.5,1.63519,1.21,0.523650565,43
0.829196718,4983,55.248618784530386,9.146101,1.0,3.0,4.855934,1.985094,5.999,6.954545455,1.913208,1.22,0.829196718,44
-0.451415497,5094,13.157894736842106,6.325269,6.0,7.0,8.387179,1.911944,7.28,6.954545455,1.930588,1.47,-0.451415497,45
-0.002058949,5205,29.09090909090909,7.113118,6.0,10.0,9.146912,2.120828,8.34,7.5,1.856245,1.39,-0.002058949,46
-0.97658024,5316,3.007518796992481,2.912951,6.0,4.0,5.151019,1.454043,6.84,7.5,2.126365,1.75,-0.97658024,47
-0.787291051,5427,3.007518796992481,1.681793,6.0,4.0,3.722419,1.268344,6.84,7.5,2.175451,1.75,-0.787291051,48
-1.043982974,5538,5.521472392638037,0.0,6.0,5.0,4.400559,1.624977,6.74,7.5,1.886843,1.53,-1.043982974,49
-1.101696142,5650,2.5974025974025974,2.990698,6.0,4.0,3.722419,1.596782,6.82,7.5,1.965868,1.6,-1.101696142,50
-0.115064561,5761,21.491228070175442,10.0,6.0,9.0,3.0,1.62,7.46,4.285714286,1.779124,1.42,-0.115064561,51
-0.570364892,5872,7.278622823353205,2.70192,6.0,5.604079,4.89696,1.428341,7.123427,6.954545455,2.038284,1.593003,-0.570364892,52
-0.692362097,5983,0.9090909090909091,1.414214,6.0,3.0,3.567621,1.302141,5.577,7.363636364,2.410995,2.07,-0.692362097,53
-0.879859553,6094,2.0184038188681335,1.640671,6.0,3.634241,3.68437,1.259772,6.39005,6.285714286,2.194085,1.850755,-0.879859553,54
-1.039755685,6205,5.521472392638037,4.655537,6.0,5.0,6.853921,1.733062,6.74,6.954545455,1.918541,1.53,-1.039755685,55
-0.637742455,6316,0.0,0.0,3.301927,4.217163,4.400559,1.624977,6.478665,7.5,1.915185,1.41489,-0.637742455,56
-0.7877531,6427,0.9090909090909091,2.511886,6.0,3.0,3.365865,1.485176,5.577,6.954545455,2.445128,2.07,-0.7877531,57
-0.420713709,6538,6.0,10.0,6.0,5.0,12.0,2.0,7.89,6.833333333,1.775838,1.7,-0.420713709,58
-0.477370532,6649,14.07850120293262,4.582576,6.0,7.398636,6.708204,1.876166,8.290049,7.5,1.944391,1.482839,-0.477370532,59
-0.478759265,6761,5.625,6.904214,6.0,5.0,3.510609,1.742605,6.88,7.333333333,1.950761,1.64,-0.478759265,60
0.094082271,6872,5.625,6.69433,6.0,5.0,3.556893,1.737104,6.88,7.5,1.831052,1.64,0.094082271,61
-0.070312447,6983,21.491228070175442,10.0,6.0,9.0,3.0,1.62,7.46,4.888888889,1.583552,1.42,-0.070312447,62
-1.008080818,7094,5.521472392638037,3.948222,6.0,5.0,6.089416,1.693671,6.74,7.5,1.889654,1.53,-1.008080818,63
-0.679481725,7205,0.9090909090909091,1.778279,6.0,3.0,3.22371,1.327038,5.577,7.5,2.404292,2.07,-0.679481725,64
0.15667757,7316,0.0,0.0,1.0,3.0,3.0,1.467812,5.986,7.5,1.636155,1.21,0.15667757,65
