Nd0,Nd1,Nd,Np0,Np1,Np,Ns0,Ns1,Ns,Out_e0,Out_e1,Out_e,ψ0,ψ1,ψ,First_IE0,First_IE1,First_IE,CN,L_bond,R0,R1,R,ΔGH
3.0,8.419824,7.400828,6.0,2.339862,2.632148,2.0,2.0,2.0,5.0,4.129565,4.229485,1.6,1.903992,1.863039,6.88,7.275846,7.225146,5.8,1.812854,1.64,1.423233,1.448679,-0.107914362
7.0,7.45391,7.380331,6.0,6.0,6.0,2.0,1.681793,1.728444,9.0,9.463026,9.388364,2.28,2.17841,2.194144,7.46,7.525629,7.515228,7.5,1.838814,1.42,1.394311,1.398336,-0.230309126
2.0,3.301089,3.036589,6.0,6.0,6.0,2.0,2.0,2.0,4.0,5.532647,5.241483,1.3,1.604483,1.549184,6.65,7.538927,7.382921,6.954545455,2.127015,1.75,1.605131,1.628415,-1.06213596
7.0,7.237624,7.199575,6.0,6.0,6.0,2.0,1.681793,1.728444,9.0,9.240211,9.201861,1.91,1.996451,1.982545,7.16,7.58133,7.513192,7.5,1.758147,1.26,1.284289,1.280423,-0.195509303
2.0,0.0,0.0,6.0,1.0,1.196231,2.0,2.0,2.0,4.0,3.0,3.087558,1.3,1.61,1.575933,6.65,5.986,6.049301,7.5,1.880105,1.75,1.21,1.255482,0.364711185
10.0,10.0,10.0,1.0,1.259921,1.231144,2.0,2.0,2.0,3.0,3.301927,3.270415,1.62,1.726217,1.715289,6.106,6.493549,6.453712,7.5,1.877623,1.45,1.429718,1.431733,1.243139283
10.0,10.0,10.0,6.0,3.833659,4.114622,2.0,2.0,2.0,12.0,8.485281,8.962554,1.69,1.672221,1.675016,8.993,8.163335,8.289056,7.5,2.166373,1.44,1.442494,1.4421,0.842181582
3.0,0.0,0.0,6.0,1.0,1.196231,2.0,2.0,2.0,5.0,3.0,3.157229,1.5,1.61,1.598646,7.89,5.986,6.153621,7.5,1.857339,1.7,1.21,1.251848,0.039112419
1.0,1.0,1.0,6.0,6.0,6.0,2.0,2.0,2.0,3.0,3.0,3.0,1.22,1.253587,1.248223,6.38,6.862462,6.783927,7.5,2.266713,1.9,1.847896,1.856027,-0.958528208
7.611663,7.360832,7.402056,6.0,6.0,6.0,1.587401,1.741101,1.714488,9.622603,9.368554,9.410425,2.145562,2.198359,2.18947,7.547633,7.512457,7.518308,6.954545455,1.815927,1.385852,1.399412,1.397142,-0.202559092
3.036589,2.56947,2.642007,6.0,6.0,6.0,2.0,2.0,2.0,5.241483,4.704316,4.789859,1.549184,1.444239,1.461223,7.382921,7.080527,7.130052,6.954545455,2.056897,1.628415,1.676001,1.667974,-0.612639545
7.318611,7.237624,7.250352,6.0,6.0,6.0,1.587401,1.681793,1.666524,9.321698,9.240211,9.25303,2.026129,1.996451,2.001108,7.727212,7.58133,7.60418,7.5,1.794922,1.292488,1.284289,1.28558,-0.177604213
