Bin_Edges,Frequency
-1.967191639,7
-1.88828487092,23
-1.80937810284,27
-1.7304713347599998,18
-1.6515645666799998,29
-1.5726577985999999,36
-1.49375103052,24
-1.41484426244,55
-1.33593749436,88
-1.25703072628,94
-1.1781239581999998,204
-1.0992171901199999,296
-1.0203104220399999,425
-0.9414036539599999,383
-0.8624968858799997,463
-0.7835901177999998,431
-0.7046833497199998,504
-0.6257765816399998,479
-0.5468698135599999,451
-0.4679630454799997,418
-0.3890562773999997,508
-0.31014950931999974,573
-0.23124274123999977,518
-0.1523359731599998,399
-0.07342920507999984,364
0.005477563000000352,330
0.0843843310800001,311
0.1632910991600005,256
0.24219786724000048,256
0.32110463532000044,284
0.4000114034000004,206
0.4789181714800004,282
0.5578249395600003,186
0.6367317076400003,210
0.7156384757200003,223
0.7945452438000002,252
0.8734520118800002,188
0.9523587799600002,149
1.0312655480400006,97
1.1101723161200006,74
1.1890790842000005,71
1.2679858522800005,43
1.3468926203600005,34
1.4257993884400004,27
1.5047061565200004,15
1.5836129246000004,12
1.6625196926800003,26
1.7414264607600003,4
1.8203332288400003,8
1.8992399969200007,16
