ablation_type,setting,mae,rmse,r2,loss,num_parameters,source,interpretation
depth,num_layers=1,0.1035,0.2142,0.9055,0.1018,3.57M,result/eq_lite_ablation/depth/summary.csv,"under-capacity"
depth,num_layers=2,0.1025,0.2002,0.9174,0.0889,6.75M,result/eq_lite_ablation/depth/summary.csv,"improved"
depth,num_layers=3,0.0943,0.1936,0.9228,0.0831,9.94M,result/eq_lite_ablation/depth/summary.csv,"best depth in this ablation"
depth,num_layers=4,0.0981,0.2088,0.9101,0.0967,13.12M,result/eq_lite_ablation/depth/summary.csv,"more parameters but worse than 3 layers"
lmax,lmax=3,0.1041,0.2105,0.9087,0.0982,12.99M,result/eq_lite_ablation/lmax/summary.csv,"under-expressive"
lmax,lmax=4,0.0996,0.1870,0.9280,0.0774,19.49M,result/eq_lite_ablation/lmax/summary.csv,"best angular order"
lmax,lmax=5,0.1076,0.2068,0.9119,0.0947,27.46M,result/eq_lite_ablation/lmax/summary.csv,"higher-order features do not improve"
lmax,lmax=6,0.1138,0.2085,0.9104,0.0963,36.91M,result/eq_lite_ablation/lmax/summary.csv,"largest but worse"
radial,num_gaussians=32,0.1023,0.1936,0.9228,0.0831,19.40M,result/eq_lite_ablation/radial/summary.csv,"coarse radial basis"
radial,num_gaussians=64,0.1132,0.2235,0.8970,0.1108,19.43M,result/eq_lite_ablation/radial/summary.csv,"worse"
radial,num_gaussians=128,0.0971,0.1996,0.9179,0.0884,19.49M,result/eq_lite_ablation/radial/summary.csv,"good"
radial,num_gaussians=256,0.0954,0.1882,0.9270,0.0785,19.61M,result/eq_lite_ablation/radial/summary.csv,"best radial setting"
module,all_on,0.1115,0.2105,,0.0984,,experiments/ablation/results_modules_corrected.csv,"reference"
module,no_attn_renorm,0.1147,0.2182,,0.1057,,experiments/ablation/results_modules_corrected.csv,"attention renormalization helps"
module,no_sep_s2,0.1144,0.2180,,0.1055,,experiments/ablation/results_modules_corrected.csv,"separable S2 helps"
module,no_sep_ln,0.1088,0.2054,,0.0936,,experiments/ablation/results_modules_corrected.csv,"separate LN is not necessary here"
module,only_escn,0.1166,0.2222,,0.1096,,experiments/ablation/results_modules_corrected.csv,"removing all auxiliary modules hurts"
