num_layers,sphere_channels,num_heads,grid_resolution,edge_channels,test_loss,test_mae,test_rmse
2,64,4,10,64,0.1144478515506937,0.11515489965677261,0.2270994782447815
2,64,4,12,64,0.10872254534982718,0.11920341849327087,0.22132444381713867
2,64,4,12,64,0.09994885319505666,0.11918956786394119,0.21220318973064423
3,64,4,12,64,0.13784593207484433,0.12885364890098572,0.24920684099197388
4,64,4,12,64,0.11263276393041739,0.12236829102039337,0.22526586055755615
2,64,4,14,64,0.549756269959303,0.36322543025016785,0.4976082742214203
2,64,4,16,64,0.10912373490774861,0.10962751507759094,0.22177666425704956
2,64,4,18,64,0.11745090632197949,0.11099722236394882,0.23005837202072144
2,64,4,20,64,0.5496338154260929,0.36317914724349976,0.49755290150642395
2,64,4,22,64,0.5496375430088777,0.363180547952652,0.49755457043647766
